"forma_vendita_edicole","Ubicazione","TipoVia","DescrizioneVia","Civico","CodiceVia","ZD","settore_storico_ed","superficie_occupata","vendita_esclusiva"
"rivendita in negozio","VIA PREVIATI GAETANO N. 14 (z.d. 7)","VIA ","PREVIATI GAETANO","14","6384","7","QUOTIDIANI","","No"
"rivendita in negozio","VIA RICCARDI PADRE PLACIDO N. 21 (z.d. 2)","VIA ","RICCARDI PADRE PLACIDO","21","2385","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA RICCIARELLI DANIELE N. 37 (z.d. 7)","VIA ","RICCIARELLI DANIELE","37","6553","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA RIPAMONTI GIUSEPPE N. 136 (z.d. 5)","VIA ","RIPAMONTI GIUSEPPE","136","4066","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA RIPAMONTI GIUSEPPE N. 244 (z.d. 5)","VIA ","RIPAMONTI GIUSEPPE","244","4066","5","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in negozio","VIA RISMONDO FRANCESCO N. 72 (z.d. 7)","VIA ","RISMONDO FRANCESCO","72","6756","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA ROMEO NICOLA N. 10 (z.d. 5)","VIA ","ROMEO NICOLA","10","5479","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA ROSSI PELLEGRINO N. 90 (z.d. 9)","VIA ","ROSSI PELLEGRINO","90","1510","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA ROVELLO N. 8 (z.d. 1)","VIA ","ROVELLO","8","722","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA RUSSO VINCENZO N. 8 (z.d. 2)","VIA ","RUSSO VINCENZO","8","2328","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SAN BARNABA N. 39 (z.d. 1)","VIA ","SAN BARNABA","39","3010","1","QUOTIDIANI","","No"
"rivendita in negozio","VIA SAN BENIGNO N. 4 (z.d. 3)","VIA ","SAN BENIGNO","4","3247","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SAN MAURILIO N. 1 (z.d. 1)","VIA ","SAN MAURILIO","1","563","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SAN PROSPERO num.003/5 , (z.d. 1)","VIA ","SAN PROSPERO","","721","1","RIVISTE SPECIALIZZATE","","No"
"rivendita in negozio","VIA SANTA CECILIA N. 2 (z.d. 1)","VIA ","SANTA CECILIA","2","349","1","QUOTIDIANI","","No"
"rivendita in negozio","VIA SANTA RITA DA CASCIA N. 35 (z.d. 6)","VIA ","SANTA RITA DA CASCIA","35","5301","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SARZANA N. 40 (z.d. 9)","VIA ","SARZANA","40","1334","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SENIGALLIA N. 6 interno residence l. da vinci, (z.d. 8)","VIA ","SENIGALLIA","6","1708","9","XIV","","Si"
"rivendita in negozio","VIA SERIO N. 2 (z.d. 5)","VIA ","SERIO","2","4130","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SISMONDI GIANCARLO N. 1 (z.d. 4)","VIA ","SISMONDI GIANCARLO","1","3256","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SODERINI LUIGI N. 55 (z.d. 6)","VIA ","SODERINI LUIGI","55","6675","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SOLFERINO N. 32 (z.d. 1)","VIA ","SOLFERINO","32","1028","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SONNINO SIDNEY N. 2 (z.d. 8)","VIA ","SONNINO SIDNEY","2","7262","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in negozio","VIA SOPERGA N. 65 (z.d. 2)","VIA ","SOPERGA","65","2262","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SOTTOCORNO PASQUALE N. 1 (z.d. 4)","VIA ","SOTTOCORNO PASQUALE","1","3152","4","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in negozio","VIA SOTTOCORNO PASQUALE N. 2 (z.d. 4)","VIA ","SOTTOCORNO PASQUALE","2","3152","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA SPARTACO N. 2 (z.d. 4)","VIA ","SPARTACO","2","3186","4","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in negozio","VIA TARAMELLI TORQUATO N. 70 (z.d. 2)","VIA ","TARAMELLI TORQUATO","70","1164","2","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in negozio","VIA TENCA CARLO N. 1 (z.d. 3)","VIA ","TENCA CARLO","1","2118","2","XIV","","Si"
"rivendita in negozio","VIA TEODOSIO N. 52 (z.d. 3)","VIA ","TEODOSIO","52","2550","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA TERTULLIANO N. 35 (z.d. 4)","VIA ","TERTULLIANO","35","4094","4","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in negozio","VIA TESSA DELIO N. 2 (z.d. 1)","VIA ","TESSA DELIO","2","1020","1","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in negozio","VIA THAON DI REVEL GENOVA N. 28 (z.d. 9)","VIA ","THAON DI REVEL GENOVA","28","1172","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA VAL DI LEDRO N. 11 (z.d. 9)","VIA ","VAL DI LEDRO","11","1532","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA VAL DI SOLE N. 22 (z.d. 5)","VIA ","VAL DI SOLE","22","4295","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA VALLA LORENZO N. 25 valla 25/26, (z.d. 5)","VIA ","VALLA LORENZO","25","5336","5","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in negozio","VIA VARCHI BENEDETTO N. 1 (z.d. 9)","VIA ","VARCHI BENEDETTO","1","1252","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA VARCHI BENEDETTO N. 4 (z.d. 9)","VIA ","VARCHI BENEDETTO","4","1252","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA VARSAVIA N. 4 angolo via del turchino, (z.d. 4)","VIA ","VARSAVIA","4","3368","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA VETTABBIA N. 7 (z.d. 1)","VIA ","VETTABBIA","7","5187","1","RIVISTE SPECIALIZZATE","","No"
"rivendita in negozio","VIA VISCONTI D'ARAGONA ALESSANDRO N. 15 (z.d. 3)","VIA ","VISCONTI D'ARAGONA ALESSANDRO","15","3229","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA WATT GIACOMO N. 2 (z.d. 6)","VIA ","WATT GIACOMO","2","5292","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VIA ZURETTI GIANFRANCO N. 49 (z.d. 2)","VIA ","ZURETTI GIANFRANCO","49","1216","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE ABRUZZI N. 1 angolo via gran sasso, (z.d. 3)","VLE ","ABRUZZI","1","2177","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE ABRUZZI N. 35 (z.d. 3)","VLE ","ABRUZZI","35","2177","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE ARGONNE N. 32 (z.d. 4)","VLE ","ARGONNE","32","3254","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE CATERINA DA FORLI' N. 36 (z.d. 7)","VLE ","CATERINA DA FORLI'","36","6611","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE CERTOSA N. 246 (z.d. 8)","VLE ","CERTOSA","246","7174","8","QUOTIDIANI","","No"
"rivendita in negozio","VLE DELL' AVIAZIONE N. 65 interno aeroporto linate ovest, (z.d. 4)","VLE ","DELL' AVIAZIONE","65","3319","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE ESPINASSE CARLO N. 84 (z.d. 8)","VLE ","ESPINASSE CARLO","84","7390","8","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE FAMAGOSTA N. 2 (z.d. 6)","VLE ","FAMAGOSTA","2","5353","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE FAMAGOSTA N. 25 negozio (z.d. 6)","VLE ","FAMAGOSTA","25","5353","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE ISONZO N. 28 (z.d. 5)","VLE ","ISONZO","28","4211","5","QUOTIDIANI","","No"
"rivendita in negozio","VLE ISONZO N. 60 (z.d. 5)","VLE ","ISONZO","60","4211","5","","","Si"
"rivendita in negozio","VLE JENNER EDOARDO N. 23 (z.d. 9)","VLE ","JENNER EDOARDO","23","1230","9","QUOTIDIANI","","No"
"rivendita in negozio","VLE LANCETTI VINCENZO N. 39 (z.d. 9)","VLE ","LANCETTI VINCENZO","39","1221","9","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in negozio","VLE MAR JONIO N. 9 (z.d. 7)","VLE ","MAR JONIO","9","6567","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in negozio","VLE MONTE NERO N. 14 (z.d. 4)","VLE ","MONTE NERO","14","3062","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE MONZA N. 106 (z.d. 2)","VLE ","MONZA","106","2274","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE MONZA N. 296 (z.d. 2)","VLE ","MONZA","296","2274","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE MONZA N. 70 (z.d. 2)","VLE ","MONZA","70","2274","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE MURILLO S.B. N. 48 (z.d. 7)","VLE ","MURILLO S.B.","48","6551","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE ORIONE DON LUIGI N. 21 (z.d. 2)","VLE ","ORIONE DON LUIGI","21","2378","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE PICENO N. 32 (z.d. 4)","VLE ","PICENO","32","3114","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE REGINA GIOVANNA num.024/a , (z.d. 3)","VLE ","REGINA GIOVANNA","","2157","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE SABOTINO N. 38 (z.d. 5)","VLE ","SABOTINO","38","4046","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE SUZZANI GIOVANNI N. 12 (z.d. 9)","VLE ","SUZZANI GIOVANNI","12","1446","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE TESTI FULVIO N. 177 (z.d. 9)","VLE ","TESTI FULVIO","177","1441","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE TESTI FULVIO num.282 , (z.d. 9)","GLL ","VITTORIO EMANUELE","","10","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE TIBALDI N. 1 angolo via meda, (z.d. 5)","VLE ","TIBALDI","1","5234","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE TOSCANA N. 11 (z.d. 5)","VLE ","TOSCANA","11","4210","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE TUNISIA N. 25 (z.d. 3)","VLE ","TUNISIA","25","2121","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE UMBRIA N. 109 (z.d. 4)","VLE ","UMBRIA","109","3145","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE UMBRIA N. 29 (z.d. 4)","VLE ","UMBRIA","29","3145","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE UMBRIA N. 56 (z.d. 4)","VLE ","UMBRIA","56","3145","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in negozio","VLE ZARA N. 118 (z.d. 2)","VLE ","ZARA","118","1170","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in area di servizio","codvia 6899 num.331 11 , (z.d. 6)","VLE ","UNGHERIA","1","3357","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in area di servizio","codvia 8504 autostrada, (z.d. 5)","VIA ","WATT GIACOMO","2","5292","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in area di servizio","VIA GALLARATE N. 389 (z.d. 8)","VIA ","GALLARATE","389","7420","8","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in area di servizio","VIA MUGGIANO num.000 area di serv. muggiano ovest, (z.d. 7)","VIA ","PIANELL SALVATORE","47","1426","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in area di servizio","VIA MUGGIANO num.000 area di servizio muggiano est, (z.d. 7)","VIA ","NOVARA","219","6624","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in area di servizio","VIA TANGENZIALE EST num.000 tangenzial, (z.d. 3)","VIA ","TANGENZIALE EST","","8501","3","QUOTIDIANI","","No"
"rivend. in centro commerciale","VIA BOVISASCA num.173 int. centro comm.le unicenter, (z.d. 9)","VIA ","LODOVICO IL MORO","59","5290","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivend. in centro commerciale","VIA DELLA FERRERA N. 18 centro comm.le tre castelli, (z.d. 6)","VIA ","DELLA FERRERA","18","5451","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivend. in centro commerciale","VIA QUARENGHI GIACOMO N. 23 centro commerciale bonola, (z.d. 8)","VIA ","QUARENGHI GIACOMO","23","7478","8","XIV-QUOTIDIANI, PERIODI","","Si"
"edicola su suolo pubblico","BST DI PORTA VOLTA N. 16 (z.d. 1)","BST ","DI PORTA VOLTA","16","1066","1","XIV-QUOTIDIANI, PERIODI","3.30 X 2.40","Si"
"edicola su suolo pubblico","codvia 0363 fr. civ. 24 di c.so magenta, (z.d. 1)","VIA ","CASTELVETRO LODOVICO","13","7195","8","XIV-QUOTIDIANI, PERIODI","2.25 X 2.25","Si"
"edicola su suolo pubblico","codvia 2418 num.011  , (z.d. 2)","CSO ","MATTEOTTI GIACOMO","3","218","1","XIV-QUOTIDIANI, PERIODI","3.30 X 2.50","Si"
"edicola su suolo pubblico","codvia 5463 parterre centrale, (z.d. 6)","PZA ","ASPROMONTE","22","2246","3","XIV-QUOTIDIANI, PERIODI","","Si"
"edicola su suolo pubblico","CSO BUENOS AIRES N. 2 (z.d. 3)","CSO ","BUENOS AIRES","2","2129","3","XIV-QUOTIDIANI, PERIODI","3.50 X 2.40","Si"
"edicola su suolo pubblico","CSO BUENOS AIRES N. 30 angolo via broggi, (z.d. 3)","CSO ","BUENOS AIRES","30","2129","3","XIV-QUOTIDIANI, PERIODI","","Si"
"edicola su suolo pubblico","CSO BUENOS AIRES N. 4 (z.d. 3)","CSO ","BUENOS AIRES","4","2129","3","","3.50 X 2.40","Si"
"edicola su suolo pubblico","CSO BUENOS AIRES N. 9 (z.d. 3)","CSO ","BUENOS AIRES","9","2129","3","XIV-QUOTIDIANI, PERIODI","5.00 X 2.60","Si"
"edicola su suolo pubblico","CSO COLOMBO CRISTOFORO N. 1 angolo coni zugna, (z.d. 5)","CSO ","COLOMBO CRISTOFORO","1","5114","6","XIV-QUOTIDIANI, PERIODI","","Si"
"edicola su suolo pubblico","CSO EUROPA num.000 ang. corsia dei servi, (z.d. 1)","CSO ","EUROPA","","300","1","XIV-QUOTIDIANI, PERIODI","5.00 X 2.00","Si"
"edicola su suolo pubblico","CSO GARIBALDI GIUSEPPE N. 83 (z.d. 1)","CSO ","GARIBALDI GIUSEPPE","83","1010","1","XIV-QUOTIDIANI, PERIODI","3.80 X 2.20","Si"
"edicola su suolo pubblico","CSO GARIBALDI GIUSEPPE num.000 fr. civ. 127, ()","VLE ","PAPINIANO","27","5097","1","","","Si"
"edicola su suolo pubblico","CSO GARIBALDI GIUSEPPE num.000 fr. civ. 127, ()","PLE ","LOTTO LORENZO","2","6539","8","","","Si"
"edicola su suolo pubblico","CSO GENOVA N. 1 angolo de amicis, (z.d. 1)","CSO ","GENOVA","1","5164","1","XIV-QUOTIDIANI, PERIODI","","Si"
"edicola su suolo pubblico","CSO MATTEOTTI GIACOMO N. 3 angolo s. pietro all'orto, (z.d. 1)","CSO ","MATTEOTTI GIACOMO","3","218","1","XIV-QUOTIDIANI, PERIODI","3.10 X 2.50","Si"
"edicola su suolo pubblico","CSO PLEBISCITI num.000 fr. p.le dateo, (z.d. 4)","VIA ","TRIVULZIO ANTONIO TOLOMEO","15","6277","7","XIV-QUOTIDIANI, PERIODI","6.00 X 3.00","Si"
"edicola su suolo pubblico","CSO SAN GOTTARDO num.021 , (z.d. 5)","CSO ","SAN GOTTARDO","","5203","5","XIV-QUOTIDIANI, PERIODI","1.95 X 1.60","Si"
"edicola su suolo pubblico","CSO SEMPIONE num.000 altezza via moscati 4, (z.d. 1)","VLE ","SABOTINO","38","4046","5","XIV-QUOTIDIANI, PERIODI","3.45 X 2.85","Si"
"edicola su suolo pubblico","CSO SEMPIONE num.000 angolo via ferruccio, (z.d. 1)","VIA ","VARESINA","50","7290","8","XIV-QUOTIDIANI, PERIODI","5.00 X 2.60","Si"
"edicola su suolo pubblico","CSO VENEZIA N. 51 (z.d. 1)","CSO ","VENEZIA","51","238","1","XIV-QUOTIDIANI, PERIODI","","Si"
"edicola su suolo pubblico","CSO VENEZIA num.000 angolo via della spiga, (z.d. 1)","PLE ","BAIAMONTI ANTONIO","1","7235","8","XIV-QUOTIDIANI, PERIODI","3.60 X 2.10","Si"
"edicola su suolo pubblico","FOR BUONAPARTE N. 12 angolo via arco, (z.d. 1)","FOR ","BUONAPARTE","12","711","1","XIV-QUOTIDIANI, PERIODI","3.10 X 2.60","Si"
"edicola su suolo pubblico","LGO AUGUSTO N. 3 (z.d. 1)","LGO ","AUGUSTO","3","315","1","XIV-QUOTIDIANI, PERIODI","5.70 X 3.70","Si"
"edicola su suolo pubblico","LGO CAIROLI num.000 angolo via camperio, (z.d. 1)","LGO ","CAIROLI","","710","1","XIV-QUOTIDIANI, PERIODI","3.65 X 2.65","Si"
"edicola su suolo pubblico","LGO CAIROLI num.000 fr. civ. 2 ang. via dante, (z.d. 1)","LGO ","CAIROLI","","710","1","XIV-QUOTIDIANI, PERIODI","3.00 X 2.40","Si"
"edicola su suolo pubblico","LGO DELLA CROCETTA fr.civ. 7, (z.d. 1)","LGO ","DELLA CROCETTA","","654","1","XIV-QUOTIDIANI, PERIODI","","Si"
"edicola su suolo pubblico","LGO LA FOPPA num.000 fr.civ. 1, (z.d. 1)","LGO ","LA FOPPA","","1033","1","XIV-QUOTIDIANI, PERIODI","5.00 X 3.00","Si"
"edicola su suolo pubblico","LGO QUINTO ALPINI centro strada, (z.d. 1)","LGO ","QUINTO ALPINI","","6346","1","XIV-QUOTIDIANI, PERIODI","","Si"
"edicola su suolo pubblico","LGO RIO DE JANEIRO N. 7 (z.d. 3)","LGO ","RIO DE JANEIRO","7","3174","3","XIV-QUOTIDIANI, PERIODI","2.85 X 2.00","Si"
"edicola su suolo pubblico","LGO SETTIMIO SEVERO N. 1 (z.d. 7)","LGO ","SETTIMIO SEVERO","1","6210","7","XIV-QUOTIDIANI, PERIODI","5.00 X 1.70","Si"
"edicola su suolo pubblico","LGO TREVES CLAUDIO N. 1 (z.d. 3)","LGO ","TREVES CLAUDIO","1","1026","1","XIV-QUOTIDIANI, PERIODI","3.30 X 3.00","Si"
"edicola su suolo pubblico","LGO VULCI N. 1 ang. via veglia 44, (z.d. 9)","LGO ","VULCI","1","1339","9","XIV-QUOTIDIANI, PERIODI","","Si"
"edicola su suolo pubblico","LGO ZANDONAI RICCARDO N. 3 angolo via panzini, (z.d. 8)","LGO ","ZANDONAI RICCARDO","3","6485","8","XIV-QUOTIDIANI, PERIODI","3.30 X 1.70","Si"
"edicola su suolo pubblico","PLE BAIAMONTI ANTONIO N. 1 angolo via farini, (z.d. 8)","PLE ","BAIAMONTI ANTONIO","1","7235","8","XIV-QUOTIDIANI, PERIODI","5.00 X 3.20","Si"
"edicola su suolo pubblico","PLE BARACCA FRANCESCO N. 10 (z.d. 7)","PLE ","BARACCA FRANCESCO","10","6180","7","XIV-QUOTIDIANI, PERIODI","5.00 X 2.60","Si"
"edicola su suolo pubblico","PLE BRESCIA N. 1 angolo faruffini, (z.d. 7)","PLE ","BRESCIA","1","6554","7","XIV-QUOTIDIANI, PERIODI","3.60 X 2.50","Si"
"edicola su suolo pubblico","PLE CADORNA LUIGI N. 1 (z.d. 1)","PLE ","CADORNA LUIGI","1","601","1","XIV-QUOTIDIANI, PERIODI","3.60 X 2.50","Si"
"edicola su suolo pubblico","PLE CADORNA LUIGI N. 6 (z.d. 1)","PLE ","CADORNA LUIGI","6","601","1","XIV-QUOTIDIANI, PERIODI","4.00 X 3.00","Si"
"edicola su suolo pubblico","PLE CANTORE ANTONIO N. 2 angolo corso genova, (z.d. 6)","PLE ","CANTORE ANTONIO","2","5103","1","XIV-QUOTIDIANI, PERIODI","3.00 X 2.50","Si"
"edicola su suolo pubblico","PLE CIMITERO MAGGIORE N. 1 (z.d. 8)","PLE ","CIMITERO MAGGIORE","1","7442","8","XIV-QUOTIDIANI, PERIODI","4.50 X 2.60","Si"
"edicola su suolo pubblico","PLE CORVETTO LUIGI EMANUELE num.000 angolo via polesine, (z.d. 4)","PLE ","CORVETTO LUIGI EMANUELE","","4174","4","XIV-QUOTIDIANI, PERIODI","4.00 X 2.25","Si"
"edicola su suolo pubblico","PLE CUOCO VINCENZO N. 8 via del turchino, (z.d. 4)","PLE ","CUOCO VINCENZO","8","3163","4","XIV-QUOTIDIANI, PERIODI","4.00 X 2.50","Si"
"edicola su suolo pubblico","PLE DE AGOSTINI GIOVANNI num.000 via boni alt.civ. 32, (z.d. 7)","VIA ","MORGAGNI TULLO","","1386","2","XIV-QUOTIDIANI, PERIODI","2.80 X 2.00","Si"
"edicola su suolo pubblico","PLE DI PORTA LODOVICA al centro","PLE ","DI PORTA LODOVICA","","4039","5","","","Si"
"edicola su suolo pubblico","PLE FARINA SALVATORE num.000 ang. via comandini, (z.d. 2)","VIA ","OLGETTINA","","2530","3","XIV-QUOTIDIANI, PERIODI","4.50 X 2.60","Si"
"edicola su suolo pubblico","PLE FERRARA N. 2 (z.d. 4)","PLE ","FERRARA","2","4158","4","XIV-QUOTIDIANI, PERIODI","5.00 X 3.00","Si"
"edicola su suolo pubblico","PLE GIULIO CESARE N. 5 angolo buonarroti, (z.d. 8)","PLE ","GIULIO CESARE","5","6361","8","XIV-QUOTIDIANI, PERIODI","5.00 X 2.50","Si"
"edicola su suolo pubblico","PLE ISTRIA num.000 , (z.d. 9)","VIA ","SAMMARTINI GIOVANNI BATTISTA","","1202","2","XIV-QUOTIDIANI, PERIODI","4.80 X 2.60","Si"
"edicola su suolo pubblico","PLE LAGOSTA num.000 , (z.d. 9)","PZA ","VENTIQUATTRO MAGGIO","7","5200","5","XIV-QUOTIDIANI, PERIODI","6.00 X 4.00","Si"
"edicola su suolo pubblico","PLE LAVATER num.000 ang. via jan, (z.d. 3)","PLE ","LAVATER","","2155","3","XIV-QUOTIDIANI, PERIODI","3.10 X 2.50","Si"
"edicola su suolo pubblico","PLE LIBIA N. 1 angolo viale lazio, (z.d. 4)","PLE ","LIBIA","1","4088","4","XIV-QUOTIDIANI, PERIODI","3.85 X 2.60","Si"
"edicola su suolo pubblico","PLE LODI N. 3 angolo corso lodi, (z.d. 4)","PLE ","LODI","3","4249","4","XIV-QUOTIDIANI, PERIODI","4.20 X 2.35","Si"
"edicola su suolo pubblico","PLE LODI N. 3 angolo v.le umbria, (z.d. 4)","PLE ","LODI","3","4249","4","XIV-QUOTIDIANI, PERIODI","4.20 X 2.35","Si"
"edicola su suolo pubblico","PLE LODI N. 3 angolo v.le umbria, (z.d. 4)","PLE ","LODI","3","4249","4","XIV-QUOTIDIANI, PERIODI","4.20 X 2.35","Si"
"edicola su suolo pubblico","PLE LODI N. 3 angolo viale umbria, (z.d. 4)","PLE ","LODI","3","4249","4","XIV-QUOTIDIANI, PERIODI","2.80 X 2.45","Si"
"edicola su suolo pubblico","PLE LORETO N. 7 angolo brianza, (z.d. 2)","PLE ","LORETO","7","2264","2","XIV-QUOTIDIANI, PERIODI","3.00 X 2.20","Si"
"edicola su suolo pubblico","PLE LOTTO LORENZO N. 2 (z.d. 8)","PLE ","LOTTO LORENZO","2","6539","8","XIV-QUOTIDIANI, PERIODI","5.00 X 2.60","Si"
"edicola su suolo pubblico","PLE MACIACHINI CARLO num.003 fr. via imbonati, (z.d. 9)","PLE ","MACIACHINI CARLO","","1361","9","XIV-QUOTIDIANI, PERIODI","3.20 X 2.35","Si"
"edicola su suolo pubblico","PLE MARTINI FERDINANDO num.000 angolo via oltrocchi, (z.d. 4)","PLE ","MARTINI FERDINANDO","","3219","4","XIV-QUOTIDIANI, PERIODI","4.50 X 2.20","Si"
"edicola su suolo pubblico","PLE MASSARI GIUSEPPE N. 1 (z.d. 2)","PLE ","MASSARI GIUSEPPE","1","1358","2","XIV-QUOTIDIANI, PERIODI","2.75 X 2.30","Si"
"edicola su suolo pubblico","PLE MEDAGLIE D'ORO N. 1 angolo corso lodi, (z.d. 1)","PLE ","MEDAGLIE D'ORO","1","4104","1","XIV-QUOTIDIANI, PERIODI","3.10 X 2.30","Si"
"edicola su suolo pubblico","PLE NIGRA COSTANTINO N. 1 (z.d. 9)","PLE ","NIGRA COSTANTINO","1","1236","9","XIV-QUOTIDIANI, PERIODI","2.20 X 1.80","Si"
"edicola su suolo pubblico","PLE PIOLA GABRIO N. 11 angolo viale lombardia, (z.d. 3)","PLE ","PIOLA GABRIO","11","2216","3","XIV-QUOTIDIANI, PERIODI","3.20 X 2.20","Si"
"edicola su suolo pubblico","PLE PRINCIPESSA CLOTILDE num.000 , (z.d. 1)","GLL ","VITTORIO EMANUELE","","10","1","XIV-QUOTIDIANI, PERIODI","4.00 X 2.50","Si"
"edicola su suolo pubblico","PLE ROSA GABRIELE num.000 , (z.d. 4)","PLE ","ROSA GABRIELE","","4288","4","XIV-QUOTIDIANI, PERIODI","3.50 X 2.20","Si"
"edicola su suolo pubblico","PLE SEGESTA num.091 , (z.d. 7)","PLE ","SEGESTA","","6535","7","XIV-QUOTIDIANI, PERIODI","3.00 X 2.40","Si"
"edicola su suolo pubblico","PLE SEGRINO N. 1 angolo via borsieri, (z.d. 9)","PLE ","SEGRINO","1","1148","9","XIV-QUOTIDIANI, PERIODI","2.40 X 1.80","Si"
"edicola su suolo pubblico","PLE SELINUNTE N. 3 angolo via morgantini, (z.d. 7)","PLE ","SELINUNTE","3","6566","7","XIV-QUOTIDIANI, PERIODI","5.00 X 3.00","Si"
"edicola su suolo pubblico","PLE STAZIONE DI PORTA GENOVA N. 3 (z.d. 6)","PLE ","STAZIONE DI PORTA GENOVA","3","5120","6","XIV-QUOTIDIANI, PERIODI","3.20 X 2.40","Si"
"edicola su suolo pubblico","PLE TRIPOLI N. 11 ang. caterina da forli', (z.d. 6)","PLE ","TRIPOLI","11","6130","6","XIV-QUOTIDIANI, PERIODI","4.50 X 3.50","Si"
